Gene	CHE_AS	CHE_IF	HKG_AS	HKG_IF	IND_AS	IND_IF	SWE_AS	SWE_IF	USA_AS	USA_IF
aph(3')-IIIa	0 	0 	0 	0 	0 	3 	0 	0 	0 	3 
nimE	0 	0 	0 	0 	0 	6 	0 	0 	0 	0 
erm(G)	0 	1 	1 	0 	0 	0 	0 	2 	0 	2 
blaMOX-9	0 	2 	0 	0 	0 	0 	0 	1 	0 	3 
blaOXA-824	0 	0 	0 	0 	0 	5 	0 	0 	0 	1 
arr-2	0 	0 	0 	0 	0 	6 	0 	0 	0 	0 
blaOXA-333	0 	4 	0 	0 	0 	0 	0 	0 	0 	2 
lnu(B)	0 	1 	0 	0 	0 	1 	0 	3 	0 	1 
blaOXA-211	0 	3 	0 	0 	0 	0 	0 	1 	0 	1 
blaOXA-796	0 	0 	0 	0 	0 	6 	0 	0 	0 	0 
cmlA	0 	0 	1 	0 	0 	5 	0 	0 	0 	0 
aadA10	0 	0 	0 	1 	1 	4 	0 	0 	0 	0 
blaOXA-732	0 	1 	0 	0 	0 	4 	0 	0 	0 	0 
aadE	0 	0 	0 	3 	0 	0 	0 	2 	0 	0 
blaOXA-643	0 	2 	0 	0 	0 	0 	0 	0 	0 	2 
ant(6)-Ia	0 	0 	1 	0 	0 	3 	0 	0 	0 	1 
blaOXA-118	0 	3 	0 	1 	0 	0 	0 	1 	0 	1 
cblA	0 	1 	0 	0 	0 	0 	0 	4 	0 	0 
blaOXA-2	0 	0 	0 	0 	0 	0 	2 	1 	0 	3 
blaCARB-4	0 	0 	0 	5 	0 	0 	0 	0 	0 	0 
dfrA40	0 	1 	0 	1 	0 	3 	0 	1 	0 	0 
ere(B)	0 	0 	2 	0 	0 	3 	0 	0 	0 	0 
blaPAU-1	0 	1 	0 	0 	0 	3 	0 	0 	0 	1 
catA13	0 	0 	0 	1 	0 	2 	0 	0 	0 	0 
blaBRO-2	0 	0 	1 	4 	0 	0 	0 	0 	0 	0 
blaGES-2	0 	0 	1 	0 	0 	3 	0 	0 	0 	0 
cmlA1	0 	0 	1 	1 	0 	3 	0 	0 	0 	0 
blaOXA-1108	0 	0 	0 	0 	0 	3 	0 	0 	0 	1 
blaOXA-652	0 	1 	0 	0 	0 	0 	0 	0 	0 	3 
sat4	0 	0 	0 	0 	0 	3 	0 	0 	0 	1 
tet(36)	0 	0 	1 	0 	0 	4 	0 	0 	0 	0 
blaOXA-921	0 	0 	0 	0 	0 	4 	0 	0 	0 	0 
blaOXA-101	0 	0 	0 	0 	0 	4 	0 	0 	0 	0 
floR	0 	0 	1 	3 	0 	0 	0 	0 	0 	0 
cfxA2	0 	1 	0 	0 	0 	2 	0 	1 	0 	0 
blaVEB-20	0 	0 	0 	0 	0 	4 	0 	0 	0 	0 
blaOXA-1159	0 	0 	0 	1 	0 	3 	0 	0 	0 	1 
blaGES-17	0 	0 	0 	0 	0 	4 	0 	0 	0 	0 
blaOXA-205	1 	1 	0 	2 	0 	0 	0 	0 	0 	0 
blaOXA-392	0 	0 	0 	0 	0 	3 	0 	1 	0 	1 
tet(44)	0 	0 	2 	1 	0 	1 	0 	0 	0 	0 
blaOXA-1041	0 	2 	0 	0 	0 	0 	0 	2 	0 	0 
