Gene	CHE_AS	CHE_IF	HKG_AS	HKG_IF	IND_AS	IND_IF	SWE_AS	SWE_IF	USA_AS	USA_IF
blaGES-10	0 	0 	0 	0 	0 	1 	0 	0 	0 	0 
blaGES-49	0 	0 	0 	1 	0 	0 	0 	0 	0 	0 
aadA3	0 	0 	0 	1 	0 	0 	0 	0 	0 	0 
blaOKP-B-3	0 	0 	0 	1 	0 	0 	0 	0 	0 	0 
blaSHV-25	0 	0 	0 	0 	0 	0 	0 	0 	0 	1 
erm(47)	0 	0 	1 	0 	0 	0 	0 	0 	0 	0 
dfrA16	0 	0 	0 	0 	0 	0 	0 	0 	0 	1 
qnrS12	0 	0 	0 	1 	0 	0 	0 	0 	0 	0 
blaOXA-35	0 	0 	0 	1 	0 	0 	0 	0 	0 	0 
blaLEN-26	0 	0 	0 	1 	0 	0 	0 	0 	0 	0 
blaCARB-43	0 	0 	0 	1 	0 	0 	0 	0 	0 	0 
blaOXA-1156	0 	0 	0 	0 	0 	0 	0 	0 	0 	1 
mcr-10.2	0 	0 	0 	1 	0 	0 	0 	0 	0 	0 
catA2	0 	0 	0 	0 	0 	0 	0 	0 	0 	1 
cphA1	0 	0 	0 	0 	0 	0 	0 	0 	0 	1 
blaVIM-73	0 	0 	0 	1 	0 	0 	0 	0 	0 	0 
blaOXA-373	0 	0 	0 	0 	0 	0 	0 	0 	0 	1 
qnrB7	0 	0 	0 	1 	0 	0 	0 	0 	0 	0 
catB7	0 	0 	0 	1 	0 	0 	0 	0 	0 	0 
blaOXA-1083	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
blaOXA-794	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
dfrB4	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
nimA	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
cepS	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
estDL136	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
blaOXA-334	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
aac(6')-set_A	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
mcr-3_set	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
tmexC1	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
blaSHV-100	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
cfr(E)	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
fosD	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
arr-6	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
blaEBR-4	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
blaOKP-A-8	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
blaACT-6	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
aac(6')-Ib-generic	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
aac(3)-IIIb	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
blaLHK-6	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
blaTEM-76	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
blaOXA-251	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
blaCHM-1	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
blaOXA-663	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
blaOXA-491	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
blaOXA-1082	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
blaOXA-29	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
blaOXA-1037	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
blaIMP-13	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
blaCPS-1	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
fosA10	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
blaIND-4	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
blaKHM-1	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
blaGES-47	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
tet(54)	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
blaIMP-51	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
vanG2	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
mcr-4.3	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
blaM-1	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
aac(2')-Ib	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
blaOXA-1193	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
vat(B)	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
aph(3')-Ib	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
dfrA30	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
blaTEM-206	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
aph(3')-IIb	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
mcr-10.1	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
blaOXA-662	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
blaIDC-1	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
blaCTX-M-77	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
dfrA7	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
mef(H)	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
blaVIM-51	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
blaOXA-46	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
vanF	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
blaGES-25	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
aadA8	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
blaOXA-666	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
fosA6	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
blaIMP-5	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
blaOXA-1088	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
cepA-29	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
tetB(46)	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
arr-Msmeg	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
blaOXA-274	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
blaOXA-669	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
blaOXA-275	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
tet(W/N/W)	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
blaTEM-231	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
tet(30)	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
tet(W/32/O)	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
tmexD1	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
dfrA32	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
